"","Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11"
"Col1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col3",NA,NA,0,0,0,0,0,0,0.001,0.002,0.004
"Col4",NA,NA,0,0,0,0,0,0,0,0.001,0.001
"Col5",NA,NA,0,0,0,0,0,0,0.001,0.002,0.005
"Col6",NA,NA,0,0,0,0,0,0,0.31,0.28,0.296
"Col7",NA,NA,0,0,0,0,0,0,0.235,0.18,0.218
"Col8",NA,NA,0,0,0,0,0,0,0.291,0.235,0.257
"Col9",NA,NA,0.001,0,0.001,0.31,0.235,0.291,0,0,0
"Col10",NA,NA,0.002,0.001,0.002,0.28,0.18,0.235,0,0,0
"Col11",NA,NA,0.004,0.001,0.005,0.296,0.218,0.257,0,0,0
